sim_scalar,packet_rate,buffer_size,flit_data_width,num_message_classes,num_nodes_per_router,explicit_pipeline_register,synthesis area (um^2),synthesis slack (ns),flit energy (J)
0,100,2,32,1,1,0,3560.777949,0.01,2.2553808948004838e-12
1,100,2,32,1,1,0,3560.777949,0.01,2.2553808948004838e-12
0,100,4,32,1,1,0,4359.887941,0.0,1.548772351214305e-12
1,100,4,32,1,1,0,4359.887941,0.0,1.548772351214305e-12
0,100,4,32,2,1,0,5429.969929,0.0,2.239658510825559e-12
1,100,4,32,2,1,0,5429.969929,0.0,2.239658510825559e-12
0,100,8,32,2,1,0,7658.585899,0.0,1.9787117304948977e-12
1,100,8,32,2,1,0,7658.585899,0.0,1.9787117304948977e-12
0,100,8,32,4,1,0,9609.677883,0.0,2.765701802293829e-12
1,100,8,32,4,1,0,9609.677883,0.0,2.765701802293829e-12
0,100,16,32,4,1,0,14356.718812,0.0,2.8403003886146414e-12
1,100,16,32,4,1,0,14356.718812,0.0,2.8403003886146414e-12
0,100,16,32,8,1,0,18535.139777,0.0,3.861798147931075e-12
1,100,16,32,8,1,0,18535.139777,0.0,3.861798147931075e-12
0,100,32,32,8,1,0,27638.909648,0.0,4.486709440879927e-12
1,100,32,32,8,1,0,27638.909648,0.0,4.486709440879927e-12
0,100,2,64,1,1,0,4905.341934,0.0,2.8293833131801696e-12
1,100,2,64,1,1,0,4905.341934,0.0,2.568802902055623e-12
0,100,4,64,1,1,0,6932.717899,0.0,2.3142514011208965e-12
1,100,4,64,1,1,0,6932.717899,0.0,2.0414998665599148e-12
0,100,4,64,2,1,0,7996.247886,0.0,3.066713606759374e-12
1,100,4,64,2,1,0,7996.247886,0.0,2.7874493927125504e-12
0,100,8,64,2,1,0,11862.746834,0.0,2.748107099747614e-12
1,100,8,64,2,1,0,11862.746834,0.0,2.426807856907715e-12
0,100,8,64,4,1,0,13792.310819,0.0,3.582809939923539e-12
1,100,8,64,4,1,0,13792.310819,0.0,3.245289459311851e-12
0,100,16,64,4,1,0,21930.245694,0.0,3.859888667156811e-12
1,100,16,64,4,1,0,21930.245694,0.0,3.291040857052831e-12
0,100,16,64,8,1,0,26724.43766,0.0,5.451881373813153e-12
1,100,16,64,8,1,0,26724.43766,0.0,4.911499238072911e-12
0,100,32,64,8,1,0,42304.274414,0.0,6.044403707098483e-12
1,100,32,64,8,1,0,42304.274414,0.0,5.1023525817293e-12
0,100,2,128,1,1,0,8328.410883,0.0,4.554534461910521e-12
1,100,2,128,1,1,0,8328.410883,0.0,3.7989117291414754e-12
0,100,4,128,1,1,0,12059.189815,0.0,3.849746463837737e-12
1,100,4,128,1,1,0,12059.189815,0.0,3.0150120096076867e-12
0,100,4,128,2,1,0,13142.141802,0.0,4.711758493223024e-12
1,100,4,128,2,1,0,13142.141802,0.0,3.881006864988558e-12
0,100,8,128,2,1,0,20211.632704,0.0,4.3454405793920775e-12
1,100,8,128,2,1,0,20211.632704,0.0,3.3412158454954464e-12
0,100,8,128,4,1,0,22160.96969,0.0,5.271026761332605e-12
1,100,8,128,4,1,0,22160.96969,0.0,4.1947706171490994e-12
0,100,16,128,4,1,0,37071.917456,0.0,6.1049259531561815e-12
1,100,16,128,4,1,0,37071.917456,0.0,4.295767251339146e-12
0,100,16,128,8,1,0,41316.560427,0.0,7.169147813855351e-12
1,100,16,128,8,1,0,41316.560427,0.0,5.3610362208416364e-12
0,100,32,128,8,1,0,71100.664988,0.0,9.021285263265098e-12
1,100,32,128,8,1,0,71100.664988,0.0,6.0281087687137185e-12
0,100,2,256,1,1,0,15179.696785,0.0,8.00689238210399e-12
1,100,2,256,1,1,0,15179.696785,0.0,6.2970979443772676e-12
0,100,4,256,1,1,0,22317.983649,0.0,6.8868428075793976e-12
1,100,4,256,1,1,0,22317.983649,0.0,5.03135842006939e-12
0,100,4,256,2,1,0,23380.694635,0.0,7.899137475796516e-12
1,100,4,256,2,1,0,23380.694635,0.0,6.000176025347651e-12
0,100,8,256,2,1,0,36965.447448,0.0,7.947437726325031e-12
1,100,8,256,2,1,0,36965.447448,0.0,5.332492044332273e-12
0,100,8,256,4,1,0,38847.743439,0.0,8.923402512288367e-12
1,100,8,256,4,1,0,38847.743439,0.0,6.280720917531404e-12
0,100,16,256,4,1,0,67260.958986,0.0,1.0332423064804119e-11
1,100,16,256,4,1,0,67260.958986,0.0,6.0172250813990125e-12
0,100,16,256,8,1,0,71524.672961,0.0,1.1146993318485525e-11
1,100,16,256,8,1,0,71524.672961,0.0,7.158598054155433e-12
0,100,32,256,8,1,0,127011.454125,0.0,1.4651186475201144e-11
1,100,32,256,8,1,0,127011.454125,0.0,7.649964354822285e-12
0,100,2,512,1,1,0,28945.56558,0.01,1.4949214026602176e-11
1,100,2,512,1,1,0,28945.56558,0.01,1.1262394195888755e-11
0,100,4,512,1,1,0,42863.885307,0.0,1.40078729650387e-11
1,100,4,512,1,1,0,42863.885307,0.0,9.412196423805711e-12
0,100,4,512,2,1,0,43973.162299,0.0,1.5775391656398523e-11
1,100,4,512,2,1,0,43973.162299,0.0,1.0989262453793348e-11
0,100,8,512,2,1,0,70390.006926,0.0,1.4558871941182926e-11
1,100,8,512,2,1,0,70390.006926,0.0,9.027213870295183e-12
0,100,8,512,4,1,0,72426.391909,0.0,1.5968732932823596e-11
1,100,8,512,4,1,0,72426.391909,0.0,1.0178181321682142e-11
0,100,16,512,4,1,0,127695.319067,0.0,1.8487553828379373e-11
1,100,16,512,4,1,0,127695.319067,0.0,9.658124146623257e-12
0,100,16,512,8,1,0,131972.956029,0.0,1.9777868948540615e-11
1,100,16,512,8,1,0,131972.956029,0.0,1.0962372523736962e-11
0,100,32,512,8,1,0,241833.848278,0.0,2.6865770445055508e-11
1,100,32,512,8,1,0,241833.848278,0.0,1.1493532946328547e-11
