sim_scalar,packet_rate,XBAR_FULL,LINKS_SW,DIRS_SW,WIDTH,BACKPRESSURE,DIRS_CU,LINKS_CU,synthesis area (um^2),slack (ns),flit energy (J)
0,100,0,1,4,32,0,4,1,2780.593229,0.77,3.176875e-13
1,100,0,1,4,32,0,4,1,2780.593229,0.77,3.176875e-13
0,100,0,1,4,32,1,4,1,3869.86326,0.74,6.119749999999999e-13
1,100,0,1,4,32,1,4,1,3869.86326,0.74,6.119749999999999e-13
0,100,1,1,4,32,0,4,1,2780.593229,0.77,3.176875e-13
1,100,1,1,4,32,0,4,1,2780.593229,0.77,3.176875e-13
0,100,1,1,4,32,1,4,1,3869.86326,0.74,6.119749999999999e-13
1,100,1,1,4,32,1,4,1,3869.86326,0.74,6.119749999999999e-13
0,100,0,2,4,32,0,4,1,4773.207639,0.68,3.387e-13
1,100,0,2,4,32,0,4,1,4773.207639,0.68,3.387e-13
0,100,0,2,4,32,1,4,1,6473.174491,0.67,6.2825e-13
1,100,0,2,4,32,1,4,1,6473.174491,0.67,6.2825e-13
0,100,1,2,4,32,0,4,1,5608.638051,0.68,3.795333333333333e-13
1,100,1,2,4,32,0,4,1,5608.638051,0.68,3.795333333333333e-13
0,100,1,2,4,32,1,4,1,7345.472483,0.68,6.419e-13
1,100,1,2,4,32,1,4,1,7345.472483,0.68,6.419e-13
0,100,0,3,4,32,0,4,1,6712.372848,0.6,3.5349375e-13
1,100,0,3,4,32,0,4,1,6712.372848,0.6,3.5349375e-13
0,100,0,3,4,32,1,4,1,8904.319316,0.67,6.2496875e-13
1,100,0,3,4,32,1,4,1,8904.319316,0.67,6.2496875e-13
0,100,1,3,4,32,0,4,1,9192.909636,0.62,4.1894375e-13
1,100,1,3,4,32,0,4,1,9192.909636,0.62,4.1894375e-13
0,100,1,3,4,32,1,4,1,11557.022504,0.69,6.763749999999999e-13
1,100,1,3,4,32,1,4,1,11557.022504,0.69,6.763749999999999e-13
0,100,0,4,4,32,0,4,1,8528.410869,0.69,3.3973499999999997e-13
1,100,0,4,4,32,0,4,1,8528.410869,0.69,3.3973499999999997e-13
0,100,0,4,4,32,1,4,1,11359.454545,0.64,6.262000000000001e-13
1,100,0,4,4,32,1,4,1,11359.454545,0.64,6.262000000000001e-13
0,100,1,4,4,32,0,4,1,13289.623268,0.72,4.04735e-13
1,100,1,4,4,32,0,4,1,13289.623268,0.72,4.04735e-13
0,100,1,4,4,32,1,4,1,16448.594546,0.59,6.8075e-13
1,100,1,4,4,32,1,4,1,16448.594546,0.59,6.8075e-13
0,100,0,1,4,32,0,1,4,2379.106831,0.77,3.0518875e-13
1,100,0,1,4,32,0,1,4,2379.106831,0.77,3.0518875e-13
0,100,0,1,4,32,1,1,4,3423.571263,0.74,5.678000000000001e-13
1,100,0,1,4,32,1,1,4,3423.571263,0.74,5.678000000000001e-13
0,100,1,1,4,32,0,1,4,2379.106831,0.77,3.0518875e-13
1,100,1,1,4,32,0,1,4,2379.106831,0.77,3.0518875e-13
0,100,1,1,4,32,1,1,4,3423.571263,0.74,5.678000000000001e-13
1,100,1,1,4,32,1,1,4,3423.571263,0.74,5.678000000000001e-13
0,100,0,2,4,32,0,1,4,4257.414038,0.77,3.21175e-13
1,100,0,2,4,32,0,1,4,4257.414038,0.77,3.21175e-13
0,100,0,2,4,32,1,1,4,5910.634885,0.74,5.749833333333333e-13
1,100,0,2,4,32,1,1,4,5910.634885,0.74,5.749833333333333e-13
0,100,1,2,4,32,0,1,4,5104.13405,0.7,3.630333333333333e-13
1,100,1,2,4,32,0,1,4,5104.13405,0.7,3.630333333333333e-13
0,100,1,2,4,32,1,1,4,6884.892084,0.68,6.052916666666667e-13
1,100,1,2,4,32,1,1,4,6884.892084,0.68,6.052916666666667e-13
0,100,0,3,4,32,0,1,4,6293.59925,0.67,3.4011874999999995e-13
1,100,0,3,4,32,0,1,4,6293.59925,0.67,3.4011874999999995e-13
0,100,0,3,4,32,1,1,4,8463.142925,0.67,5.923375e-13
1,100,0,3,4,32,1,1,4,8463.142925,0.67,5.923375e-13
0,100,1,3,4,32,0,1,4,8787.718838,0.67,4.01325e-13
1,100,1,3,4,32,0,1,4,8787.718838,0.67,4.01325e-13
0,100,1,3,4,32,1,1,4,11205.633707,0.69,6.520625e-13
1,100,1,3,4,32,1,1,4,11205.633707,0.69,6.520625e-13
0,100,0,4,4,32,0,1,4,8150.738472,0.72,3.3717499999999997e-13
1,100,0,4,4,32,0,1,4,8150.738472,0.72,3.3717499999999997e-13
0,100,0,4,4,32,1,1,4,10966.25895,0.69,6.104500000000001e-13
1,100,0,4,4,32,1,1,4,10966.25895,0.69,6.104500000000001e-13
0,100,1,4,4,32,0,1,4,12920.065272,0.71,4.17905e-13
1,100,1,4,4,32,0,1,4,12920.065272,0.71,4.17905e-13
0,100,1,4,4,32,1,1,4,16047.108149,0.66,6.597e-13
1,100,1,4,4,32,1,1,4,16047.108149,0.66,6.597e-13
0,100,0,1,4,512,0,4,1,38216.178282,0.73,5.060875e-12
1,100,0,1,4,512,0,4,1,38216.178282,0.73,3.963962500000001e-12
0,100,0,1,4,512,1,4,1,52989.678763,0.57,9.498e-12
1,100,0,1,4,512,1,4,1,52989.678763,0.57,7.802000000000001e-12
0,100,1,1,4,512,0,4,1,38216.178282,0.73,5.060875e-12
1,100,1,1,4,512,0,4,1,38216.178282,0.73,3.963962500000001e-12
0,100,1,1,4,512,1,4,1,52989.678763,0.57,9.498e-12
1,100,1,1,4,512,1,4,1,52989.678763,0.57,7.802000000000001e-12
0,100,0,2,4,512,0,4,1,64732.979222,0.58,5.2493333333333334e-12
1,100,0,2,4,512,0,4,1,64732.979222,0.58,4.1423333333333334e-12
0,100,0,2,4,512,1,4,1,86881.763936,0.53,9.483333333333333e-12
1,100,0,2,4,512,1,4,1,86881.763936,0.53,7.691416666666667e-12
0,100,1,2,4,512,0,4,1,75913.740543,0.55,5.528833333333334e-12
1,100,1,2,4,512,0,4,1,75913.740543,0.55,4.5985e-12
0,100,1,2,4,512,1,4,1,97907.822455,0.51,9.758333333333335e-12
1,100,1,2,4,512,1,4,1,97907.822455,0.51,8.14775e-12
0,100,0,3,4,512,0,4,1,90884.455629,0.57,5.3981874999999994e-12
1,100,0,3,4,512,0,4,1,90884.455629,0.57,4.297749999999999e-12
0,100,0,3,4,512,1,4,1,120435.337387,0.49,9.675e-12
1,100,0,3,4,512,1,4,1,120435.337387,0.49,7.912499999999999e-12
0,100,1,3,4,512,0,4,1,123195.114387,0.46,6.0224375e-12
1,100,1,3,4,512,0,4,1,123195.114387,0.46,4.946125e-12
0,100,1,3,4,512,1,4,1,153219.630159,0.46,1.03e-11
1,100,1,3,4,512,1,4,1,153219.630159,0.46,8.55625e-12
0,100,0,4,4,512,0,4,1,116557.71174,0.49,5.3594e-12
1,100,0,4,4,512,0,4,1,116557.71174,0.49,4.26515e-12
0,100,0,4,4,512,1,4,1,153606.122943,0.54,9.67e-12
1,100,0,4,4,512,1,4,1,153606.122943,0.54,7.93e-12
0,100,1,4,4,512,0,4,1,181962.069135,0.45,6.14055e-12
1,100,1,4,4,512,0,4,1,181962.069135,0.45,5.3188e-12
0,100,1,4,4,512,1,4,1,218471.401915,0.52,1.047e-11
1,100,1,4,4,512,1,4,1,218471.401915,0.52,8.990000000000001e-12
0,100,0,1,4,512,0,1,4,33094.933557,0.56,4.87675e-12
1,100,0,1,4,512,0,1,4,33094.933557,0.56,3.80075e-12
0,100,0,1,4,512,1,1,4,47637.526433,0.52,8.823e-12
1,100,0,1,4,512,1,1,4,47637.526433,0.52,7.353125e-12
0,100,1,1,4,512,0,1,4,33094.933557,0.56,4.87675e-12
1,100,1,1,4,512,0,1,4,33094.933557,0.56,3.80075e-12
0,100,1,1,4,512,1,1,4,47637.526433,0.52,8.823e-12
1,100,1,1,4,512,1,1,4,47637.526433,0.52,7.353125e-12
0,100,0,2,4,512,0,1,4,58417.329934,0.58,5.110666666666667e-12
1,100,0,2,4,512,0,1,4,58417.329934,0.58,3.937750000000001e-12
0,100,0,2,4,512,1,1,4,80500.317455,0.55,9.0535e-12
1,100,0,2,4,512,1,1,4,80500.317455,0.55,7.2670000000000004e-12
0,100,1,2,4,512,0,1,4,69658.067257,0.61,5.399833333333334e-12
1,100,1,2,4,512,0,1,4,69658.067257,0.61,4.377083333333333e-12
0,100,1,2,4,512,1,1,4,91627.276773,0.59,9.351583333333333e-12
1,100,1,2,4,512,1,1,4,91627.276773,0.59,7.697416666666666e-12
0,100,0,3,4,512,0,1,4,85365.076211,0.52,5.2434375e-12
1,100,0,3,4,512,0,1,4,85365.076211,0.52,4.0321875000000006e-12
0,100,0,3,4,512,1,1,4,114824.406369,0.58,9.3125e-12
1,100,0,3,4,512,1,1,4,114824.406369,0.58,7.5e-12
0,100,1,3,4,512,0,1,4,117765.875374,0.46,5.865375e-12
1,100,1,3,4,512,0,1,4,117765.875374,0.46,4.6509375000000005e-12
0,100,1,3,4,512,1,1,4,147525.261937,0.56,9.924999999999999e-12
1,100,1,3,4,512,1,1,4,147525.261937,0.56,8.1e-12
0,100,0,4,4,512,0,1,4,111730.349548,0.61,5.29435e-12
1,100,0,4,4,512,0,1,4,111730.349548,0.61,4.06865e-12
0,100,0,4,4,512,1,1,4,148749.831153,0.54,9.439999999999999e-12
1,100,0,4,4,512,1,1,4,148749.831153,0.54,7.6e-12
0,100,1,4,4,512,0,1,4,177092.370942,0.49,6.07295e-12
1,100,1,4,4,512,0,1,4,177092.370942,0.49,5.0667e-12
0,100,1,4,4,512,1,1,4,213670.852525,0.6,1.024e-11
1,100,1,4,4,512,1,1,4,213670.852525,0.6,8.599999999999998e-12
